Database???Monthly
Month£º1998-
Indicators,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015,Dec 2014,Nov 2014,Oct 2014,Sep 2014,Aug 2014,Jul 2014,Jun 2014,May 2014,Apr 2014,Mar 2014,Feb 2014,Jan 2014,Dec 2013,Nov 2013,Oct 2013,Sep 2013,Aug 2013,Jul 2013,Jun 2013,May 2013,Apr 2013,Mar 2013,Feb 2013,Jan 2013,Dec 2012,Nov 2012,Oct2012,Sep 2012,Aug 2012,Jul 2012,Jun2012,May 2012,Apr 2012,Mar 2012,Feb 2012,Jan 2012,Dec 2011,Nov 2011,Oct 2011,Sep 2011,Aug 2011,Jul 2011,Jun 2011,May 2011,Apr 2011,Mar 2011,Feb 2011,Jan 2011,Dec 2010,Nov 2010,Oct 2010,Sep 2010,Aug 2010,Jul 2010,Jun 2010,May 2010,Apr 2010,Mar 2010,Feb 2010,Jan 2010,Dec 2009,Nov 2009,Oct 2009,Sep 2009,Aug 2009,Jul 2009,Jun 2009,May 2009,Apr 2009,Mar 2009,Feb 2009,Jan 2009,Dec 2008,Nov 2008,Oct 2008,Sep 2008,Aug 2008,Jul 2008,Jun 2008,May 2008,Apr 2008,Mar 2008,Feb 2008,Jan 2008,Dec 2007,Nov 2007,Oct 2007,Sep 2007,Aug 2007,Jul 2007,Jun 2007,May 2007,Apr 2007,Mar 2007,Feb 2007,Jan 2007,Dec 2006,Nov 2006,Oct 2006,Sep 2006,Aug 2006,Jul 2006,Jun 2006,May 2006,Apr 2006,Mar 2006,Feb 2006,Jan 2006,Dec 2005,Nov 2005,Oct 2005,Sep 2005,Aug 2005,Jul 2005,Jun 2005,May 2005,Apr 2005,Mar 2005,Feb 2005,Jan 2005,Dec 2004,Nov 2004,Oct 2004,Sep 2004,Aug 2004,Jul 2004,Jun 2004,May 2004,Apr 2004,Mar 2004,Feb 2004,Jan 2004,Dec 2003,Nov 2003,Oct 2003,Sep 2003,Aug 2003,Jul 2003,Jun 2003,May 2003,Apr 2003,Mar 2003,Feb 2003,Jan 2003,Dec 2002,Nov 2002,Oct 2002,Sep 2002,Aug 2002,Jul 2002,Jun 2002,May 2002,Apr 2002,Mar 2002,Feb 2002,Jan 2002,Dec 2001,Nov 2001,Oct 2001,Sep 2001,Aug 2001,Jul 2001,Jun 2001,May 2001,Apr 2001,Mar 2001,Feb 2001,Jan 2001,Dec 2000,Nov 2000,Oct 2000,Sep 2000,Aug 2000,Jul 2000,Jun 2000,May 2000,Apr 2000,Mar 2000,Feb 2000,Jan 2000,Dec 1999,Nov 1999,Oct 1999,Sep 1999,Aug 1999,Jul 1999,Jun 1999,May 1999,Apr 1999,Mar 1999,Feb 1999,Jan 1999,Dec 1998,Nov 1998,Oct 1998,Sep 1998,Aug 1998,Jul 1998,Jun 1998,May 1998,Apr 1998,Mar 1998,Feb 1998,Jan 1998
Consumer Price Index (The same month last year=100),100.3,100.4,100.6,100.5,100.2,100.3,100.3,100.1,100.7,99.2,99.7,99.5,99.8,100.0,100.1,99.7,100.0,100.2,100.1,100.7,101.0,102.1,101.8,101.6,102.1,102.8,102.5,102.7,102.5,102.1,102.1,101.5,100.9,100.9,101.5,102.3,101.5,100.7,100.8,101.0,101.1,101.3,100.9,100.4,99.8,99.7,100.2,99.5,100.5,101.7,102.4,102.7,102.5,102.4,103.3,104.3,105.2,105.4,104.5,104.5,103.8,103.0,102.8,102.8,102.7,102.7,102.5,102.3,101.5,101.7,101.9,102.2,102.5,102.5,102.3,102.1,101.9,101.8,101.8,102.1,102.9,101.5,101.8,101.7,101.9,101.6,101.8,101.4,101.5,101.5,101.2,100.9,100.8,102.5,102.1,102.3,102.1,101.9,101.3,101.8,101.9,102.0,102.3,102.3,102.3,101.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Food&Tobacco,102.0,102.3,102.1,100.2,98.9,99.0,98.6,98.6,99.9,96.4,98.0,97.8,97.9,98.5,99.5,99.5,102.0,101.2,100.8,102.1,102.1,104.7,103.7,103.0,105.2,106.3,104.5,104.7,102.5,102.1,101.9,99.7,98.2,98.2,99.9,101.7,99.1,97.2,98.0,98.2,99.6,100.8,100.1,100.1,100.3,101.4,101.4,99.3,102.4,106.4,108.8,110.2,108.8,108.5,111.3,113.6,116.0,115.2,112.9,113.9,111.4,108.4,107.3,106.7,106.1,105.8,104.7,103.5,101.2,102.0,102.4,102.5,102.9,103.0,101.9,101.0,100.8,100.7,101.1,102.0,103.6,100.2,100.3,99.8,100.3,99.6,100.4,99.9,99.8,99.5,98.2,97.6,97.6,102.5,102.2,103.2,103.0,102.7,101.5,102.8,103.7,104.7,105.9,106.0,105.8,103.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Clothing,101.1,101.3,101.4,101.5,101.5,101.6,101.6,101.6,101.6,101.6,101.4,101.3,101.1,101.1,101.1,101.0,100.9,100.9,100.9,100.8,100.7,100.5,100.5,100.5,100.5,100.5,100.6,100.7,100.6,100.5,100.5,100.6,100.6,100.4,100.6,100.5,100.5,100.5,100.5,100.4,100.4,100.4,100.2,100.1,99.5,99.8,99.9,99.7,99.7,99.6,99.5,99.5,99.6,99.6,99.6,99.7,100.5,100.6,100.8,101.1,101.2,101.6,101.6,101.8,101.8,101.7,101.8,102.0,102.0,101.6,101.5,101.4,101.4,101.2,101.3,101.2,101.1,101.1,101.1,101.1,101.1,101.4,101.3,101.2,101.2,101.3,101.3,101.4,101.4,101.3,101.3,101.3,101.2,101.1,101.1,101.4,101.3,101.2,101.3,101.4,101.4,101.5,101.5,101.5,101.6,101.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Residence,99.9,99.9,100.0,100.1,100.2,100.2,100.2,100.2,100.2,100.3,100.3,100.3,100.3,100.2,100.1,100.1,100.0,99.8,99.8,99.7,99.9,99.9,99.8,99.8,99.8,100.3,100.6,100.7,100.8,101.0,101.2,101.3,101.4,101.4,101.6,101.7,101.7,101.3,101.1,101.1,100.9,100.7,100.4,100.2,99.7,99.6,99.4,99.4,99.3,99.2,99.3,99.3,99.4,99.5,99.7,99.9,100.3,100.5,100.5,100.4,100.5,100.7,101.0,101.5,101.6,101.8,102.0,102.1,102.2,102.1,102.2,102.4,102.5,102.6,102.5,102.4,102.3,102.2,102.2,102.2,102.2,102.7,102.8,102.8,102.8,102.8,102.7,102.5,102.5,102.5,102.4,102.4,102.5,102.3,102.1,102.0,101.8,101.5,101.5,101.6,101.6,101.6,101.4,101.3,101.3,101.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Household Articles and Services,100.1,100.1,100.2,100.7,100.9,100.8,101.4,101.0,100.5,101.0,100.0,99.5,99.4,99.6,99.5,99.8,99.5,99.9,100.1,100.7,101.4,101.6,101.5,101.5,101.4,101.4,101.3,101.4,101.5,101.4,101.2,100.9,100.6,100.4,100.8,100.5,100.9,100.5,100.6,100.3,100.3,100.4,100.4,100.0,99.8,100.0,100.0,100.0,99.9,99.9,99.9,99.9,100.0,100.1,100.1,100.3,100.1,100.2,100.4,100.4,100.6,100.6,100.7,100.8,100.8,101.0,101.1,101.2,101.3,101.5,101.4,101.5,101.5,101.6,101.6,101.6,101.5,101.5,101.5,101.6,101.8,101.5,101.6,101.5,101.5,101.4,101.3,101.1,101.1,101.0,100.8,100.7,100.5,100.6,100.4,100.3,100.4,100.3,100.4,100.6,100.6,100.6,100.5,100.4,100.3,100.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Transportation and Communication,95.2,95.9,97.3,99.4,99.7,99.8,100.1,98.7,99.6,97.6,97.8,97.6,99.1,98.7,97.9,95.3,93.5,96.1,96.7,98.1,100.1,102.0,102.8,102.9,103.1,104.5,104.9,106.1,108.5,106.2,106.5,105.8,105.5,105.2,105.0,107.6,107.0,105.8,105.9,106.9,105.8,105.5,104.9,102.7,98.1,95.4,96.9,96.1,96.1,96.4,96.1,95.6,95.4,94.9,95.1,96.2,98.4,100.9,99.3,97.2,96.5,97.1,97.7,97.9,98.1,99.1,99.5,100.1,98.8,98.7,99.3,101.6,103.2,102.8,102.7,103.0,102.4,101.8,101.1,100.3,101.5,100.2,101.2,101.3,100.8,100.5,100.7,99.8,100.1,101.1,101.8,102.0,101.7,102.3,100.9,100.0,99.6,99.6,98.8,98.4,98.2,97.4,97.6,97.4,98.4,98.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Education Culture and Recreation,100.8,100.6,101.3,101.7,101.7,101.7,101.8,101.8,103.9,101.3,101.8,101.8,102.3,102.5,102.5,102.4,101.5,101.7,101.9,101.4,101.2,102.4,101.4,101.3,101.2,101.2,101.6,101.5,102.1,101.8,102.0,102.6,102.5,102.9,103.1,103.0,102.9,103.2,103.0,102.7,101.5,101.5,101.3,100.4,100.6,100.0,100.9,101.0,101.1,100.7,100.0,100.3,101.9,102.2,102.0,102.5,101.0,102.2,101.8,101.7,101.9,101.7,102.1,102.3,102.4,102.6,102.5,102.4,102.4,102.9,102.3,102.5,102.5,102.2,102.6,102.3,101.8,101.9,102.0,102.2,103.7,100.9,102.1,102.0,102.3,102.3,102.5,102.5,102.5,102.6,102.6,102.3,101.8,103.3,102.3,102.2,102.1,102.0,101.3,101.6,101.4,101.2,101.2,101.2,100.9,101.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Health Cares,101.1,101.2,101.3,101.4,101.5,101.5,101.6,101.5,101.5,101.3,101.4,101.3,101.3,101.3,101.2,101.2,101.1,101.1,101.0,101.0,101.0,100.8,100.6,100.5,100.5,100.7,100.7,100.7,100.7,100.7,100.7,100.7,100.6,100.6,100.7,100.6,100.6,100.4,100.4,100.4,100.3,100.2,100.1,100.2,100.3,100.4,101.3,101.5,101.5,101.5,101.5,101.6,101.9,102.1,102.2,102.2,102.2,102.3,102.1,102.0,102.1,102.2,102.3,102.6,102.5,102.5,102.6,102.7,102.8,102.7,102.5,102.6,102.6,102.7,104.3,104.6,105.0,105.1,105.2,105.7,106.0,106.2,106.6,107.0,107.2,107.6,105.9,105.5,105.7,105.9,105.7,105.3,105.1,105.0,104.6,104.4,104.8,104.3,104.3,104.3,103.8,103.5,103.2,103.1,102.8,102.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Miscellanous Goods and Services,104.7,103.5,103.4,104.0,104.0,103.6,103.8,102.7,103.0,102.9,102.9,103.0,103.6,103.9,103.8,104.1,102.4,103.1,103.5,102.5,102.6,103.1,102.8,102.3,101.9,101.6,102.2,100.9,101.7,101.8,101.7,102.1,100.3,99.9,99.5,99.4,99.5,97.2,96.1,98.7,99.1,99.1,98.7,98.5,99.2,99.1,102.2,102.5,102.4,104.3,106.1,105.1,105.1,105.3,104.8,105.3,104.4,104.8,104.4,104.5,105.5,105.8,104.7,103.4,102.7,102.1,101.9,101.9,102.0,102.3,101.6,101.5,101.3,100.7,101.2,101.2,100.9,101.0,100.9,101.2,101.7,101.2,101.9,101.7,101.8,101.4,101.4,101.3,102.8,102.9,103.4,102.9,103.1,104.8,104.0,104.2,103.6,104.4,104.5,104.4,102.6,102.2,101.7,101.7,100.4,99.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Price Indices (The same month last year=100) Non-food,99.7,99.8,100.2,100.7,100.8,100.8,100.9,100.7,101.1,100.4,100.5,100.4,100.7,100.7,100.5,100.0,99.4,100.0,100.1,100.3,100.6,101.2,101.1,101.1,101.1,101.5,101.7,101.9,102.5,102.1,102.2,102.2,102.1,102.0,102.1,102.5,102.4,102.0,101.9,102.1,101.7,101.6,101.3,100.7,99.8,99.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
