DATE,NA000334Q,NA000334Q_SA
01/01/1947,58497,98273.97076
01/04/1947,60672,50638.17409
01/07/1947,62196,51906.38576
01/10/1947,68250,23538.76742
01/01/1948,64258,104290.1558
01/04/1948,66539,81075.73499
01/07/1948,69378,69661.57242
01/10/1948,74295,45628.73909
01/01/1949,66185,107877.5974
01/04/1949,66340,62424.54742
01/07/1949,68625,66613.20076
01/10/1949,71322,34628.15409
01/01/1950,68032,107808.9708
01/04/1950,70872,60838.17409
01/07/1950,77178,66888.38576
01/10/1950,83746,39034.76742
01/01/1951,81603,121635.1558
01/04/1951,84645,99181.73499
01/07/1951,87586,87869.57242
01/10/1951,93076,64409.73909
01/01/1952,87610,129302.5974
01/04/1952,88913,84997.54742
01/07/1952,91270,89258.20076
01/10/1952,99548,62854.15409
01/01/1953,94008,133784.9708
01/04/1953,97392,87358.17409
01/07/1953,96695,86405.38576
01/10/1953,101121,56409.76742
01/01/1954,93581,133613.1558
01/04/1954,96090,110626.735
01/07/1954,96905,97188.57242
01/10/1954,103980,75313.73909
01/01/1955,99833,141525.5974
01/04/1955,104406,100490.5474
01/07/1955,107058,105046.2008
01/10/1955,114181,77487.15409
01/01/1956,106892,146668.9708
01/04/1956,110356,100322.1741
01/07/1956,111816,101526.3858
01/10/1956,120287,75575.76742
01/01/1957,113459,153491.1558
01/04/1957,117125,131661.735
01/07/1957,119108,119391.5724
01/10/1957,124349,95682.73909
01/01/1958,113202,154894.5974
01/04/1958,117802,113886.5474
01/07/1958,120079,118067.2008
01/10/1958,130149,93455.15409
01/01/1959,123707,163483.9708
01/04/1959,131641,121607.1741
01/07/1959,130194,119904.3858
01/10/1959,136112,91400.76742
01/01/1960,131022,171054.1558
01/04/1960,136488,151024.735
01/07/1960,135021,135304.5724
01/10/1960,139850,111183.7391
01/01/1961,132138,173830.5974
01/04/1961,140168,136252.5474
01/07/1961,140509,138497.2008
01/10/1961,149394,112700.1541
01/01/1962,144274,184050.9708
01/04/1962,150952,140918.1741
01/07/1962,150614,140324.3858
01/10/1962,158078,113366.7674
01/01/1963,150949,190981.1558
01/04/1963,158886,173422.735
01/07/1963,159597,159880.5724
01/10/1963,168017,139350.7391
01/01/1964,162413,204105.5974
01/04/1964,170097,166181.5474
01/07/1964,171593,169581.2008
01/10/1964,180356,143662.1541
01/01/1965,173462,213238.9708
01/04/1965,183818,173784.1741
01/07/1965,185525,175235.3858
01/10/1965,199483,154771.7674
01/01/1966,191022,231054.1558
01/04/1966,201635,216171.735
01/07/1966,203439,203722.5724
01/10/1966,217316,188649.7391
01/01/1967,204098,245790.5974
01/04/1967,213246,209330.5474
01/07/1967,214456,212444.2008
01/10/1967,228140,191446.1541
01/01/1968,218405,258181.9708
01/04/1968,234781,224747.1741
01/07/1968,235737,225447.3858
01/10/1968,251704,206992.7674
01/01/1969,238912,278944.1558
01/04/1969,254764,269300.735
01/07/1969,255302,255585.5724
01/10/1969,268638,239971.7391
01/01/1970,253998,295690.5974
01/04/1970,268532,264616.5474
01/07/1970,268019,266007.2008
01/10/1970,282764,246070.1541
01/01/1971,273782,313558.9708
01/04/1971,291216,281182.1741
01/07/1971,291043,280753.3858
01/10/1971,308808,264096.7674
01/01/1972,299204,339236.1558
01/04/1972,318894,333430.735
01/07/1972,319052,319335.5724
01/10/1972,341962,313295.7391
01/01/1973,333807,375499.5974
01/04/1973,354356,350440.5474
01/07/1973,354349,352337.2008
01/10/1973,382865,346171.1541
01/01/1974,361840,401616.9708
01/04/1974,384120,374086.1741
01/07/1974,385975,375685.3858
01/10/1974,413310,368598.7674
01/01/1975,391688,431720.1558
01/04/1975,414253,428789.735
01/07/1975,423323,423606.5724
01/10/1975,455641,426974.7391
01/01/1976,441178,482870.5974
01/04/1976,465343,461427.5474
01/07/1976,466535,464523.2008
01/10/1976,500358,463664.1541
01/01/1977,481996,521772.9708
01/04/1977,515010,504976.1741
01/07/1977,526844,516554.3858
01/10/1977,557979,513267.7674
01/01/1978,534990,575022.1558
01/04/1978,583171,597707.735
01/07/1978,596032,596315.5724
01/10/1978,637402,608735.7391
01/01/1979,618499,660191.5974
01/04/1979,648326,644410.5474
01/07/1979,658706,656694.2008
01/10/1979,701800,665106.1541
01/01/1980,683564,723340.9708
01/04/1980,698570,688536.1741
01/07/1980,707671,697381.3858
01/10/1980,767505,722793.7674
01/01/1981,758799,798831.1558
01/04/1981,791530,806066.735
01/07/1981,811659,811942.5724
01/10/1981,845052,816385.7391
01/01/1982,803715,845407.5974
01/04/1982,831458,827542.5474
01/07/1982,834528,832516.2008
01/10/1982,874081,837387.1541
01/01/1983,850380,890156.9708
01/04/1983,895388,885354.1741
01/07/1983,916516,906226.3858
01/10/1983,971755,927043.7674
01/01/1984,962905,1002937.156
01/04/1984,1002687,1017223.735
01/07/1984,1011924,1012207.572
01/10/1984,1060096,1031429.739
01/01/1985,1033006,1074698.597
01/04/1985,1073981,1070065.547
01/07/1985,1090905,1088893.201
01/10/1985,1141088,1104394.154
01/01/1986,1104498,1144274.971
01/04/1986,1138030,1127996.174
01/07/1986,1148813,1138523.386
01/10/1986,1188288,1143576.767
01/01/1987,1148876,1188908.156
01/04/1987,1205023,1219559.735
01/07/1987,1218373,1218656.572
01/10/1987,1282952,1254285.739
01/01/1988,1236534,1278226.597
01/04/1988,1297399,1293483.547
01/07/1988,1319724,1317712.201
01/10/1988,1382783,1346089.154
01/01/1989,1346036,1385812.971
01/04/1989,1405607,1395573.174
01/07/1989,1418867,1408577.386
01/10/1989,1471062,1426350.767
01/01/1990,1434375,1474407.156
01/04/1990,1490965,1505501.735
01/07/1990,1499694,1499977.572
01/10/1990,1538100,1509433.739
01/01/1991,1475270,1516962.597
01/04/1991,1532427,1528511.547
01/07/1991,1548990,1546978.201
01/10/1991,1601443,1564749.154
01/01/1992,1554707,1594483.971
01/04/1992,1619581,1609547.174
01/07/1992,1640744,1630454.386
01/10/1992,1705290,1660578.767
01/01/1993,1638122,1678154.156
01/04/1993,1701825,1716361.735
01/07/1993,1724703,1724986.572
01/10/1993,1793863,1765196.739
01/01/1994,1736453,1778145.597
01/04/1994,1809569,1805653.547
01/07/1994,1837412,1835400.201
01/10/1994,1903751,1867057.154
01/01/1995,1835136,1874912.971
01/04/1995,1897414,1887380.174
01/07/1995,1922816,1912526.386
01/10/1995,1984341,1939629.767
01/01/1996,1925298,1965330.156
01/04/1996,2005097,2019633.735
01/07/1996,2035136,2035419.572
01/10/1996,2107536,2078869.739
01/01/1997,2043501,2085193.597
01/04/1997,2129607,2125691.547
01/07/1997,2166479,2164467.201
01/10/1997,2237891,2201197.154
01/01/1998,2160728,2200504.971
01/04/1998,2249908,2239874.174
01/07/1998,2281422,2271132.386
01/10/1998,2370677,2325965.767
01/01/1999,2293136,2333168.156
01/04/1999,2388422,2402958.735
01/07/1999,2423648,2423931.572
01/10/1999,2524828,2496161.739
01/01/2000,2448892,2490584.597
01/04/2000,2569266,2565350.547
01/07/2000,2577927,2575915.201
01/10/2000,2655636,2618942.154
01/01/2001,2562488,2602264.971
01/04/2001,2656407,2646373.174
01/07/2001,2651366,2641076.386
01/10/2001,2711715,2667003.767
01/01/2002,2631119,2671151.156
01/04/2002,2721842,2736378.735
01/07/2002,2751463,2751746.572
01/10/2002,2824686,2796019.739
01/01/2003,2743734,2785426.597
01/04/2003,2831413,2827497.547
01/07/2003,2886905,2884893.201
01/10/2003,2994399,2957705.154
01/01/2004,2924602,2964378.971
01/04/2004,3032386,3022352.174
01/07/2004,3069688,3059398.386
01/10/2004,3190521,3145809.767
01/01/2005,3111329,3151361.156
01/04/2005,3232051,3246587.735
01/07/2005,3306451,3306734.572
01/10/2005,3389367,3360700.739
01/01/2006,3333266,3374958.597
01/04/2006,3460990,3457074.547
01/07/2006,3463694,3461682.201
01/10/2006,3557633,3520939.154
01/01/2007,3482006,3521782.971
01/04/2007,3613882,3603848.174
01/07/2007,3637993,3627703.386
01/10/2007,3740350,3695638.767
01/01/2008,3657487,3697519.156
01/04/2008,3715835,3730371.735
01/07/2008,3698182,3698465.572
01/10/2008,3698360,3669693.739
01/01/2009,3522117,3563809.597
01/04/2009,3598010,3594094.547
01/07/2009,3623204,3621192.201
01/10/2009,3734738,3698044.154
01/01/2010,3602418,3642194.971
01/04/2010,3755370,3745336.174
01/07/2010,3793867,3783577.386
01/10/2010,3897315,3852603.767
01/01/2011,3764835,3804867.156
01/04/2011,3893028,3907564.735
01/07/2011,3927583,3927866.572
01/10/2011,4014288,3985621.739
01/01/2012,3960259,4001951.597
01/04/2012,4047165,4043249.547
01/07/2012,4086346,4084334.201
01/10/2012,4160201,4123507.154
01/01/2013,4074333,4114109.971
01/04/2013,4184244,4174210.174
01/07/2013,4259404,4249114.386
01/10/2013,4362704,4317992.767
01/01/2014,4220258,4260290.156
01/04/2014,4376828,4391364.735
01/07/2014,4465484,4465767.572
01/10/2014,4545567,4516900.739
01/01/2015,4411435,4453127.597
01/04/2015,4580499,4576583.547
01/07/2015,4625898,4623886.201
01/10/2015,4677188,4640494.154
01/01/2016,4521822,4561598.971
01/04/2016,4690281,4680247.174
01/07/2016,4746661,4736371.386
01/10/2016,4840483,4795771.767
01/01/2017,4674704,4714736.156
01/04/2017,4889678,4904214.735
01/07/2017,4958224,4958507.572
01/10/2017,5089495,5060828.739
01/01/2018,4962408,5004100.597
01/04/2018,5161541,5157625.547
01/07/2018,5221627,5219615.201
01/10/2018,5310940,5274246.154
01/01/2019,5141827,5181603.971
01/04/2019,5376008,5365974.174
01/07/2019,5448234,5437944.386
01/10/2019,5573410,5528698.767
01/01/2020,5299709,5339741.156
01/04/2020,5015774,5030310.735
01/07/2020,5417823,5418106.572
01/10/2020,5620799,5592132.739
01/01/2021,5517357,5559049.597
01/04/2021,5873553,5869637.547
01/07/2021,5996233,5994221.201
01/10/2021,6294089,6257395.154
01/01/2022,6138647,6178423.971
01/04/2022,6476822,6466788.174
01/07/2022,6614793,6604503.386
01/10/2022,6794799,6750087.767
01/01/2023,6639837,6679869.156
01/04/2023,6897740,6912276.735
01/07/2023,7029115,7029398.572
01/10/2023,7159264,7130597.739
01/01/2024,6997823,7039515.597
01/04/2024,7290539,7286623.547
01/07/2024,7363483,7361471.201
