"DATE","Repo_Rate","Reverse_Repo_Rate"
"08/06/2006","6.75","5.75"
"25/07/2006","7","6"
"31/10/2006","7.25","6"
"23/12/2006","7.25","6"
"06/01/2007","7.25","6"
"31/01/2007","7.5","6"
"17/02/2007","7.5","6"
"03/03/2007","7.5","6"
"31/03/2007","7.75","6"
"14/04/2007","7.75","6"
"28/04/2007","7.75","6"
"04/08/2007","7.75","6"
"10/11/2007","7.75","6"
"26/04/2008","7.75","6"
"10/05/2008","7.75","6"
"24/05/2008","7.75","6"
"12/06/2008","8","6"
"25/06/2008","8.5","6"
"05/07/2008","8.5","6"
"19/07/2008","8.5","6"
"30/07/2008","9","6"
"30/08/2008","9","6"
"11/10/2008","9","6"
"20/10/2008","8","6"
"25/10/2008","8","6"
"03/11/2008","7.5","6"
"08/11/2008","7.5","6"
"08/12/2008","6.5","5"
"05/01/2009","5.5","4"
"17/01/2009","5.5","4"
"05/03/2009","5","3.5"
"21/04/2009","4.75","3.25"
"07/11/2009","4.75","3.25"
"13/02/2010","4.75","3.25"
"27/02/2010","4.75","3.25"
"19/03/2010","5","3.5"
"20/04/2010","5.25","3.75"
"24/04/2010","5.25","3.75"
"02/07/2010","5.5","4"
"27/07/2010","5.75","4.5"
"16/09/2010","6","5"
"02/11/2010","6.25","5.25"
"18/12/2010","6.25","5.25"
"25/01/2011","6.5","5.5"
"17/03/2011","6.75","5.75"
"03/05/2011","7.25","6.25"
"16/06/2011","7.5","6.5"
"26/07/2011","8","7"
"16/09/2011","8.25","7.25"
"25/10/2011","8.5","7.5"
"28/01/2012","8.5","7.5"
"13/02/2012","8.5","7.5"
"10/03/2012","8.5","7.5"
"17/04/2012","8","7"
"11/08/2012","8","7"
"22/09/2012","8","7"
"03/11/2012","8","7"
"29/01/2013","7.75","6.75"
"09/02/2013","7.75","6.75"
"19/03/2013","7.5","6.5"
"03/05/2013","7.25","6.25"
"15/07/2013","7.25","6.25"
"20/09/2013","7.5","6.5"
"07/10/2013","7.5","6.5"
"29/10/2013","7.75","6.75"
"28/01/2014","8","7"
"14/06/2014","8","7"
"09/08/2014","8","7"
"15/01/2015","7.75","6.75"
"07/02/2015","7.75","6.75"
"04/03/2015","7.5","6.5"
"02/06/2015","7.25","6.25"
"29/09/2015","6.75","5.75"
"02/04/2016","6.75","5.75"
"05/04/2016","6.5","6"
"09/07/2016","6.5","6"
"01/10/2016","6.5","6"
"04/10/2016","6.25","5.75"
"07/01/2017","6.25","5.75"
"06/04/2017","6.25","6"
"24/06/2017","6.25","6"
"02/08/2017","6","5.75"
"14/10/2017","6","5.75"
"06/06/2018","6.25","6"
"01/08/2018","6.5","6.25"
"05/01/2019","6.5","6.25"
"07/02/2019","6.25","6"
"04/04/2019","6","5.75"
"13/04/2019","6","5.75"
"06/06/2019","5.75","5.5"
"06/07/2019","5.75","5.5"
"07/08/2019","5.4","5.15"
"04/10/2019","5.15","4.9"
"12/10/2019","5.15","4.9"
"04/01/2020","5.15","4.9"
"27/03/2020","4.4","4"
"28/03/2020","4.4","4"
"11/04/2020","4.4","4"
"17/04/2020","4.4","3.75"
"22/05/2020","4","3.35"
"27/03/2021","4","3.35"
"22/05/2021","4","3.35"
"08/04/2022","4","3.35"
"04/05/2022","4.4","3.35"
"21/05/2022","4.4","3.35"
"08/06/2022","4.9","3.35"
"05/08/2022","5.4","3.35"
"30/09/2022","5.9","3.35"
"07/12/2022","6.25","3.35"
"08/02/2023","6.5","3.35"
