DATE,NGDPRNSAXDCINQ,NGDPRNSAXDCINQ_SA
01/04/2004,11733.59961,12160.79079
01/07/2004,11859.40039,12347.273
01/10/2004,13303.40039,12881.26311
01/01/2005,13824.5,12208.49738
01/04/2005,12815.90039,14765.59916
01/07/2005,12860.7002,13943.7604
01/10/2005,14497.09961,14292.6291
01/01/2006,15256.40039,13892.55071
01/04/2006,13765,14770.20802
01/07/2006,14177.5,14828.28019
01/10/2006,15871.09961,15539.61589
01/01/2007,16751.5,15085.63283
01/04/2007,15253,15680.19118
01/07/2007,15473.40039,15961.273
01/10/2007,17545.09961,17122.96233
01/01/2008,18229.90039,16613.89777
01/04/2008,16486,18435.69877
01/07/2008,16515.59961,17598.65982
01/10/2008,17814.30078,17609.83028
01/01/2009,18272.90039,16909.05071
01/04/2009,17309.30078,18314.5088
01/07/2009,17664.90039,18315.68058
01/10/2009,19277.09961,18945.61589
01/01/2010,20696.30078,19030.43361
01/04/2010,19091.09961,19518.29079
01/07/2010,19374.69922,19862.57183
01/10/2010,21337.90039,20915.76311
01/01/2011,22833.40039,21217.39777
01/04/2011,21028.59961,22978.29838
01/07/2011,20428.69922,21511.75943
01/10/2011,22251.40039,22046.92989
01/01/2012,23654.59961,22290.74993
01/04/2012,22052.19922,23057.40724
01/07/2012,21959.5,22610.28019
01/10/2012,23447.69922,23116.2155
01/01/2013,24670.80078,23004.93361
01/04/2013,23474,23901.19118
01/07/2013,23570.80078,24058.67339
01/10/2013,24980,24557.86272
01/01/2014,25989,24372.99738
01/04/2014,25357.5,27307.19877
01/07/2014,25622.40039,26705.4606
01/10/2014,26459.5,26255.0295
01/01/2015,27837.30078,26473.4511
01/04/2015,27282.80078,28288.0088
01/07/2015,27680.90039,28331.68058
01/10/2015,28363.90039,28032.41668
01/01/2016,30367.40039,28701.53322
01/04/2016,29650.90039,30078.09158
01/07/2016,30357.59961,30845.47222
01/10/2016,30796.19922,30374.06194
01/01/2017,32277.30078,30661.29816
01/04/2017,31463.40039,33413.09916
01/07/2017,31972,33055.06021
01/10/2017,32849.89844,32645.42793
01/01/2018,35160.60156,33796.75188
01/04/2018,33823,34828.20802
01/07/2018,34036.39844,34687.17862
01/10/2018,34897.60156,34566.11785
01/01/2019,37172.10156,35506.23439
01/04/2019,35546.39844,35973.58962
01/07/2019,35499.5,35987.37261
01/10/2019,36033.80078,35611.6635
01/01/2020,38266.80078,36650.79816
01/04/2020,27323.09961,29272.79838
01/07/2020,33426.60156,34509.66177
01/10/2020,36673.39844,36468.92793
01/01/2021,39525.69922,38161.84954
01/04/2021,33507.30078,34512.5088
01/07/2021,36724.39844,37375.17862
01/10/2021,38701.10156,38369.61785
01/01/2022,41285.69922,39619.83205
01/04/2022,37799.5,38226.69118
01/07/2022,38728.60156,39216.47417
01/10/2022,40348.89844,39926.76116
01/01/2023,43837.30078,42221.29816
01/04/2023,40914.80078,42864.49955
01/07/2023,41857.80078,42940.86099
01/10/2023,43806.69922,43602.22871
01/01/2024,47237.80078,45873.9511
01/04/2024,43637.30078,44642.5088
